Unieknr,plot_id,soil_unit,reference_soil_group,rsg_pq_cod,pq_code,pq1,pq2,pq3,sq_drainag,sq_texture,sq_morphol,sq_fertili,belgisch_bodemtype,belgisch_bodemdistrict,bodemkaart_streek,bodemtype_ruw,bodemtype,bodemserie_c,bodemserie,Substr_V_c,SubstraatV,Textuur_c,Textuur,Drainage_c,Drainage,Profontw_c,Profontw,Fase_c,Fase,Varimoma_c,Varimoma,Variprof_c,Variprof,Serie_c,Serie,Subserie_c,Subserie,Type_c,Type,Subtype_c,Subtype,Uitleg_tit,Uitleg,Type_class,Bodtypstr,PNV,Kaartbldnr
111,111,Eutric Neocambic Retisols (Siltic),Retisols,RT-nc.eu,nc.eu,Neocambic,Eutric,-,-,Siltic,-,Eutric,Aba(b),Brabants plateau,Zandstreek,Droge leem,Aba(b),Aba,Droge leembodem met textuur B horizont,,,A,leem,b,"droog, niet gleyig",a,met textuur B horizont of met weinig duidelijke kleur B horizont,,,,,(b),Gevlekte textuur B horizont,,,,,,,,,bodemserie Aba in de Zandstreek,"De serie Aba ontwikkeld in het Pleistocene loessdek vertoont onder de A horizont een aan klei en sesquioxiden aangerijkte textuur B horizont. De bouwvoor is een donkerbruin, homogeen humushoudend leem; bij Abao rust de Ap op een geelbruine overgangshoriz",Rest van Vlaanderen,Aba(b)-ZS,5,103E
112,112,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
113,113,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
114,114,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
115,115,Eutric Neocambic Retisols (Siltic),Retisols,RT-nc.eu,nc.eu,Neocambic,Eutric,-,-,Siltic,-,Eutric,Aba(b),Brabants plateau,Zandstreek,Droge leem,Aba(b),Aba,Droge leembodem met textuur B horizont,,,A,leem,b,"droog, niet gleyig",a,met textuur B horizont of met weinig duidelijke kleur B horizont,,,,,(b),Gevlekte textuur B horizont,,,,,,,,,bodemserie Aba in de Zandstreek,"De serie Aba ontwikkeld in het Pleistocene loessdek vertoont onder de A horizont een aan klei en sesquioxiden aangerijkte textuur B horizont. De bouwvoor is een donkerbruin, homogeen humushoudend leem; bij Abao rust de Ap op een geelbruine overgangshoriz",Rest van Vlaanderen,Aba(b)-ZS,5,103E
116,116,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
117,117,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
118,118,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
119,119,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
120,120,Eutric Neocambic Retisols (Siltic),Retisols,RT-nc.eu,nc.eu,Neocambic,Eutric,-,-,Siltic,-,Eutric,Aba(b),Brabants plateau,Zandstreek,Droge leem,Aba(b),Aba,Droge leembodem met textuur B horizont,,,A,leem,b,"droog, niet gleyig",a,met textuur B horizont of met weinig duidelijke kleur B horizont,,,,,(b),Gevlekte textuur B horizont,,,,,,,,,bodemserie Aba in de Zandstreek,"De serie Aba ontwikkeld in het Pleistocene loessdek vertoont onder de A horizont een aan klei en sesquioxiden aangerijkte textuur B horizont. De bouwvoor is een donkerbruin, homogeen humushoudend leem; bij Abao rust de Ap op een geelbruine overgangshoriz",Rest van Vlaanderen,Aba(b)-ZS,5,103E
121,121,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
122,122,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
123,123,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
124,124,Eutric Neocambic Retisols (Siltic),Retisols,RT-nc.eu,nc.eu,Neocambic,Eutric,-,-,Siltic,-,Eutric,Aba(b),Brabants plateau,Zandstreek,Droge leem,Aba(b),Aba,Droge leembodem met textuur B horizont,,,A,leem,b,"droog, niet gleyig",a,met textuur B horizont of met weinig duidelijke kleur B horizont,,,,,(b),Gevlekte textuur B horizont,,,,,,,,,bodemserie Aba in de Zandstreek,"De serie Aba ontwikkeld in het Pleistocene loessdek vertoont onder de A horizont een aan klei en sesquioxiden aangerijkte textuur B horizont. De bouwvoor is een donkerbruin, homogeen humushoudend leem; bij Abao rust de Ap op een geelbruine overgangshoriz",Rest van Vlaanderen,Aba(b)-ZS,5,103E
125,125,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
126,126,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
127,127,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
128,128,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
129,129,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
130,130,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
131,131,Dystric Glossic Fragic Retisols (Siltic),Retisols,RT-fc.gs.dy,fc.gs.dy,Fragic,Glossic,Dystric,-,Siltic,-,Dystric,Abc0,Brabants plateau,Zandstreek,Droge leem,Abc0,Abc,"Droge leembodem met sterk gevlekte, verbrokkelde textuur B horizont",,,A,leem,b,"droog, niet gleyig",c,"met sterk gevlekte textuur (bij lemige sedimenten), verbrokkelde textuur B horizont ( bij zandige sedimenten)",0,Betekenis afhankelijk van het bodemtype (zie toelichtingsboekje),,,,,,,,,,,,,bodemserie Abc en complex AbB in de AbB in de Zandstreek,"Deze droge leemgronden met sterk gevlekte textuur B horizont komen voor nabij de overgangszone met de Leemstreek alsook in enkele alluviale valleien.eDeze bodems hebben een bruingrijze Ap (20-25 cm) die rust op een bruine C horizont, waarin weinig of gee",Rest van Vlaanderen,Abc0-ZS,5,103E
132,132,Eutric Neocambic Retisols (Siltic),Retisols,RT-nc.eu,nc.eu,Neocambic,Eutric,-,-,Siltic,-,Eutric,Aba(b),Brabants plateau,Zandstreek,Droge leem,Aba(b),Aba,Droge leembodem met textuur B horizont,,,A,leem,b,"droog, niet gleyig",a,met textuur B horizont of met weinig duidelijke kleur B horizont,,,,,(b),Gevlekte textuur B horizont,,,,,,,,,bodemserie Aba in de Zandstreek,"De serie Aba ontwikkeld in het Pleistocene loessdek vertoont onder de A horizont een aan klei en sesquioxiden aangerijkte textuur B horizont. De bouwvoor is een donkerbruin, homogeen humushoudend leem; bij Abao rust de Ap op een geelbruine overgangshoriz",Rest van Vlaanderen,Aba(b)-ZS,5,103E
